dialect,rows,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,neg_f1,neu_f1,pos_f1
egypt,610,0.6278688524590164,0.6026854297718865,0.5411374312203555,0.5542103939456297,0.6168705134812243,0.6278688524590164,0.6067394826828169,0.7364016736401674,0.5,0.4262295081967213
gulf,171,0.6140350877192983,0.5892857142857143,0.5976010101010101,0.5929329402208907,0.6181495405179616,0.6140350877192983,0.6156760481286759,0.6829268292682927,0.5585585585585585,0.5373134328358209
levant,123,0.6178861788617886,0.6265865917028708,0.6163358147229115,0.6206442458229267,0.6228290522107879,0.6178861788617886,0.6196891742248033,0.6538461538461539,0.5301204819277109,0.6779661016949152
magreb,8,0.5,0.3111111111111111,0.3111111111111111,0.3111111111111111,0.5,0.5,0.5,0.6,0.3333333333333333,0.0
msa,2179,0.6860945387792565,0.6645397610744145,0.6488445972941489,0.6539489944014959,0.6868755710262623,0.6860945387792565,0.6843706600881274,0.6893317702227433,0.7342799188640974,0.538235294117647
