representation_family,models,mean_validation_macro_f1,best_validation_macro_f1,mean_test_macro_f1,best_test_macro_f1
fasttext,5,0.5937655297610638,0.6334797840367105,0.6016766323960416,0.6380426626150988
tfidf,2,0.6110042862239068,0.6334523685970158,0.6147951538193572,0.6348099317961645
word2vec,5,0.5981687356396033,0.6296072106594409,0.6016841275592694,0.6261755862470061
