seed,epochs,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,neg_f1,neu_f1,pos_f1
42,5,0.6674215464251051,0.6524439558217706,0.6312555708383504,0.6380426626150988,0.66727834919441,0.6674215464251051,0.6641850140159766,0.699740836727138,0.6886035313001605,0.5257836198179979
1337,5,0.6502749919120026,0.6596857205784826,0.5805177308385885,0.5905171208246317,0.6559846414307382,0.6502749919120026,0.6348670399643364,0.6704591629418936,0.6995576726777816,0.40153452685422
2026,5,0.6457457133613718,0.6585681447083475,0.5928448609502586,0.6024160915337385,0.6604238520359551,0.6457457133613718,0.6345158491257221,0.695855614973262,0.6478632478632479,0.46352941176470586
