classifier_family,models,mean_validation_macro_f1,mean_test_macro_f1,best_test_macro_f1
non_sequential_neural,2,0.6295238852865745,0.6317304737925533,0.6380426626150988
sequential_neural,4,0.6196750607865441,0.618626626887604,0.6261755862470061
traditional,6,0.5739886476219705,0.584737775379958,0.6348099317961645
