variant,disabled_stage,changed_training_rows,feature_count,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,neg_f1,neu_f1,pos_f1,macro_f1_delta,positive_f1_delta
full_pipeline,,0,16496,0.6635393076674215,0.6409962404846564,0.6316753975466705,0.6334523685970158,0.6652627211098385,0.6635393076674215,0.6611152737360178,0.7097012172630026,0.6768595041322314,0.5137963843958135,0.0,0.0
without_decode_html_entities,decode_html_entities,3,16496,0.6635393076674215,0.6409962404846564,0.6316753975466705,0.6334523685970158,0.6652627211098385,0.6635393076674215,0.6611152737360178,0.7097012172630026,0.6768595041322314,0.5137963843958135,0.0,0.0
without_remove_html_tags,remove_html_tags,0,16496,0.6635393076674215,0.6409962404846564,0.6316753975466705,0.6334523685970158,0.6652627211098385,0.6635393076674215,0.6611152737360178,0.7097012172630026,0.6768595041322314,0.5137963843958135,0.0,0.0
without_remove_urls,remove_urls,3102,18083,0.6713037851827888,0.6516551016286791,0.6319414003855303,0.6380544906366189,0.6695682951903665,0.6713037851827888,0.6673621010095131,0.7129080118694362,0.6896275530636764,0.5116279069767442,0.004602122039603085,-0.0021684774190693368
without_replace_mentions,replace_mentions,1664,16979,0.662245228081527,0.6399531019461658,0.6307322281504724,0.6319948064516859,0.6644802102250393,0.662245228081527,0.6594813395518963,0.7126099706744868,0.6705539358600583,0.5128205128205128,-0.0014575621453298826,-0.0009758715753007685
without_demojize_emojis,demojize_emojis,1188,16117,0.6551277903591071,0.6309167785377082,0.6172923079996975,0.6203898971625456,0.6560363749715092,0.6551277903591071,0.6516810785391263,0.7017543859649122,0.6740924092409241,0.48532289628180036,-0.013062471434470257,-0.02847348811401318
without_unpack_hashtags,unpack_hashtags,2359,15898,0.6590100291167906,0.6350102720360485,0.6255559298738362,0.6276051207258745,0.6598664164771383,0.6590100291167906,0.6564595275582171,0.7058823529411765,0.6740649404027949,0.502868068833652,-0.005847247871141326,-0.010928315562161561
without_normalize_arabic_characters,normalize_arabic_characters,6877,17011,0.6638628275638951,0.6412911784248081,0.6312905635513195,0.6330472928707903,0.6661002680432012,0.6638628275638951,0.661273359315886,0.71071953010279,0.6774595267745953,0.5109628217349858,-0.00040507572622550114,-0.002833562660827793
without_remove_diacritics,remove_diacritics,447,16529,0.6648333872533161,0.6426627594089255,0.632377091090266,0.6345091660028737,0.6665383219279667,0.6648333872533161,0.6623039303708201,0.7101289134438306,0.6790582403965304,0.51434034416826,0.0010567974058578455,0.0005439597724464784
without_remove_tatweel,remove_tatweel,319,16540,0.6638628275638951,0.6416298317417007,0.6319422777174737,0.6337925357055506,0.6658139694390659,0.6638628275638951,0.6614286641835649,0.7093922651933702,0.6776996276375672,0.5142857142857142,0.0003401671085347946,0.0004893298899006915
without_normalize_digits,normalize_digits,1275,16372,0.6641863474603689,0.6428720504291068,0.6332622281331961,0.6349664050327342,0.6664594784923658,0.6641863474603689,0.6617602947916663,0.7098197866862818,0.6760680215678142,0.5190114068441065,0.0015140364357183467,0.005215022448292972
without_remove_punctuation_symbols,remove_punctuation_symbols,7110,16709,0.662245228081527,0.6405721266202485,0.629599217792472,0.6320065875842856,0.6636002114639572,0.662245228081527,0.6595229033726863,0.7081339712918661,0.6749174917491749,0.5129682997118156,-0.0014457810127301851,-0.0008280846839979761
without_collapse_repeated_characters,collapse_repeated_characters,507,16482,0.6635393076674215,0.64030699652249,0.6306489740061118,0.6325334765334059,0.6650586974320492,0.6635393076674215,0.6609710606783437,0.7106524143015113,0.6774060305658819,0.5095419847328244,-0.0009188920636099551,-0.004254399662989128
without_remove_stopwords,remove_stopwords,7867,21301,0.669362665803947,0.6519773514337777,0.6285448570884102,0.6345488970815113,0.6699547677391275,0.669362665803947,0.6645060601112459,0.7146473779385172,0.6838868388683886,0.5051124744376279,0.0010965284844954848,-0.008683909958185687
without_lemmatize_arabic_tokens,lemmatize_arabic_tokens,9063,20006,0.6554513102555807,0.6315218554068847,0.6324564806174614,0.6307036613620978,0.6581549896256329,0.6554513102555807,0.6552307555558817,0.6966463414634146,0.6707566462167689,0.5247079964061097,-0.0027487072349180464,0.010911612010296112
without_preserve_negation,preserve_negation,1817,16131,0.6619217081850534,0.6393053519467397,0.6313763024679994,0.6326533421528505,0.6640266541213996,0.6619217081850534,0.6598379258300426,0.7071005917159763,0.6757650951199339,0.5150943396226415,-0.0007990264441652961,0.0012979552268279626
