epoch,training_loss,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
1,0.8528703697211377,0.6473633128437399,0.6423025201830882,0.5823621539130169,0.5906885519944725,0.6478569256074304,0.6473633128437399,0.6339757736750792
2,0.764867503801416,0.6499514720155289,0.6458344873541101,0.5944716279637839,0.6062977435312681,0.6490144797657358,0.6499514720155289,0.6411651447196536
3,0.7142465689299781,0.6573924296344226,0.6620184382320304,0.5994008371158883,0.6111591427659565,0.6610444011680926,0.6573924296344226,0.6469632717351389
4,0.6678297738292052,0.6405693950177936,0.6544553965660441,0.5919119429139333,0.6053184942096668,0.6509543578013877,0.6405693950177936,0.6321743818616713
5,0.622058115151532,0.6609511484956325,0.6481667404423738,0.6270861530203617,0.6334797840367105,0.6612663685967005,0.6609511484956325,0.6574685868372551
6,0.5673914792390364,0.6651569071497897,0.6623955194016875,0.6199077682260266,0.6306656655183814,0.667457478436239,0.6651569071497897,0.65876191487472
7,0.5069284455541987,0.662245228081527,0.6602176638982505,0.6167880411844252,0.6294342252082892,0.6625459330499021,0.662245228081527,0.6567082255868769
