trial,dropout,hidden_size,learning_rate,best_epoch,epochs_ran,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
2,0.3,128,0.001,4,6,0.645422193464898,0.630319538126401,0.6163076764066285,0.6177357994278263,0.6502979907053583,0.645422193464898,0.6414214048609124
1,0.3,64,0.001,4,6,0.6505985118084763,0.6425146965564442,0.6063604830763946,0.6139524075963524,0.6538627748901812,0.6505985118084763,0.643328097539448
3,0.5,64,0.001,4,6,0.6441281138790036,0.6394250904636661,0.6112305106304764,0.6135029156792707,0.6559848937854577,0.6441281138790036,0.6368602937091172
4,0.5,128,0.001,1,3,0.6402458751213199,0.6255560694113217,0.5926326463178235,0.6019046410122524,0.6386786477051761,0.6402458751213199,0.6343503140776278
