trial,alpha,fit_prior,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
6,0.5,False,0.6635393076674215,0.6409962404846564,0.6316753975466705,0.6334523685970158,0.6652627211098385,0.6635393076674215,0.6611152737360178
8,1.0,False,0.6687156260109997,0.6552320953223015,0.6234685175666568,0.631668521365304,0.6689802515635662,0.6687156260109997,0.6628208801010956
4,0.1,False,0.6483338725331608,0.6250530356285475,0.6368121678128693,0.6269881872991623,0.6594233423250042,0.6483338725331608,0.6501806837265074
3,0.1,True,0.6628922678744743,0.648474078025814,0.6137029747637119,0.6229194011717896,0.6601843474091537,0.6628922678744743,0.6561345100484505
10,2.0,False,0.6658039469427369,0.6630703013795115,0.6070536113664363,0.617271141630651,0.6681757115419326,0.6658039469427369,0.6551388607018608
1,0.01,True,0.6499514720155289,0.6262519285937712,0.6021789890867568,0.6088718643192895,0.6453902254856992,0.6499514720155289,0.6439219978798887
2,0.01,False,0.6350695567777418,0.6053390778936171,0.6098486602397596,0.6054188092978023,0.6419032105919943,0.6350695567777418,0.63607501346466
5,0.5,True,0.6612746683921061,0.6757833749839518,0.5865836341087131,0.5945004832286551,0.6687904840518408,0.6612746683921061,0.6434863435492935
7,1.0,True,0.6505985118084763,0.6887276248981791,0.5593276114465078,0.5550358046116265,0.6698372550057565,0.6505985118084763,0.6208663759043188
9,2.0,True,0.6408929149142673,0.7044608612053286,0.537691813268609,0.5175372679605962,0.6741212922511925,0.6408929149142673,0.5992429917000691
