epoch,training_loss,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
1,0.9170575403195298,0.6250404399870592,0.6286362812169185,0.5548217682880707,0.5586520348680091,0.6309350338196585,0.6250404399870592,0.6060554515850697
2,0.8060142948225608,0.6493044322225817,0.6381029102589556,0.6019383424931145,0.6105526471204391,0.6486312844564981,0.6493044322225817,0.6420484778841873
3,0.7818584944339783,0.6531866709802653,0.647193104152692,0.6029176394873287,0.6116053553586202,0.65632386228982,0.6531866709802653,0.6443708591949006
4,0.7792290594088508,0.6470397929472662,0.6533388514059856,0.5977103716935458,0.6055836092001349,0.6605013952330943,0.6470397929472662,0.6364063899738197
5,0.7648928215443785,0.6593335490132644,0.6461298514107563,0.6166948960237709,0.6261720594845364,0.6564476523582055,0.6593335490132644,0.6546865736916322
6,0.7566458643813304,0.659657068909738,0.6430489494963293,0.6182474400573089,0.6267094888728507,0.6561594398097632,0.6596570689097379,0.6555226954732378
7,0.7432056989508334,0.6564218699450016,0.6500410509031199,0.6014468736073388,0.6114308725285378,0.6565246632126004,0.6564218699450016,0.646992252748244
8,0.7403686034580426,0.6570689097379488,0.6405179183051625,0.6264976743567666,0.6296072106594409,0.6597899433633576,0.6570689097379488,0.6541653936688011
9,0.7260476781123023,0.6590100291167906,0.6552973287918951,0.6068121835868169,0.6167274777201495,0.6621244126291216,0.6590100291167906,0.6502094735080808
10,0.7147120945336402,0.6551277903591071,0.6476754609949643,0.6153177455183022,0.6216819879096154,0.6602393360801543,0.6551277903591071,0.6484476266442825
