trial,max_depth,min_samples_leaf,n_estimators,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
3,,2,200,0.656098350048528,0.6580513696336481,0.5894346850029043,0.5985924383456617,0.659259950024399,0.656098350048528,0.6420945643399728
7,40.0,2,200,0.6564218699450016,0.6565853119212803,0.5893268557993031,0.5982381393780709,0.6589982218343532,0.6564218699450016,0.6423839933700891
2,,1,400,0.6551277903591071,0.6532297462309863,0.5886606911948548,0.5973194491340218,0.6568635355140506,0.6551277903591071,0.6412283046085242
6,40.0,1,400,0.6551277903591071,0.6511793799182107,0.5886606911948548,0.5970643193863562,0.6560403745379336,0.6551277903591071,0.6412606787002012
5,40.0,1,200,0.6557748301520544,0.6541832613334304,0.5884983261963732,0.596976187046326,0.6575140421662615,0.6557748301520544,0.6414846766549299
4,,2,400,0.6554513102555807,0.6565255706772607,0.5878922655903126,0.5965804395701414,0.6583551830568417,0.6554513102555807,0.6410009177030281
8,40.0,2,400,0.6554513102555807,0.6565226869756083,0.5879011478250994,0.5965616182616962,0.6583482868355833,0.6554513102555807,0.6409709290549731
1,,1,200,0.6531866709802653,0.6512736322507326,0.5867202297347777,0.5953594549518848,0.6547638110513847,0.6531866709802653,0.6392760511843548
