epoch,training_loss,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
1,0.9074422089359103,0.6334519572953736,0.6267200664055971,0.5574417849318389,0.5585459368657432,0.6350566979918455,0.6334519572953736,0.6122707586549243
2,0.803239584489765,0.6528631510837917,0.6310428749115159,0.6096153237441252,0.6164206035214305,0.6485818899747917,0.6528631510837917,0.648076027845733
3,0.7769636583343674,0.6496279521190553,0.6492885834031284,0.5955548474805739,0.6051446741284724,0.6539985511610755,0.6496279521190553,0.639371055876717
4,0.7708105889516498,0.6379812358460045,0.6427364817058805,0.5939937028898848,0.5996080302271615,0.6527235807248004,0.6379812358460045,0.6272940551059213
