trial,dropout,learning_rate,num_filters,best_epoch,epochs_ran,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
2,0.3,0.001,128,5,7,0.6609511484956325,0.6481667404423738,0.6270861530203617,0.6334797840367105,0.6612663685967005,0.6609511484956325,0.6574685868372551
1,0.3,0.001,64,4,6,0.6612746683921061,0.6507576621796335,0.6228331850206686,0.6323270019551991,0.659763750942677,0.6612746683921061,0.6574764465392396
4,0.5,0.001,128,8,10,0.6557748301520544,0.6377680620039492,0.6235332711238885,0.629346157765066,0.6532974971551717,0.6557748301520544,0.653722927243596
3,0.5,0.001,64,4,6,0.6628922678744743,0.651090696617542,0.6147205160694839,0.624525618192158,0.6607014639343577,0.6628922678744743,0.6563354936651392
