epoch,training_loss,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
1,0.886066670558168,0.6412164348107409,0.6208196143325884,0.5874063235953243,0.5960312466920618,0.6352549072358564,0.6412164348107409,0.633468278649105
2,0.8087380973444034,0.6573924296344226,0.6492353255511151,0.6012582750316963,0.6118556251282298,0.6548373353954923,0.6573924296344226,0.6480879726350606
3,0.7912714442980016,0.6480103526366872,0.631703118523395,0.6002279898785339,0.6076476699529693,0.6456100910567348,0.6480103526366872,0.6406160745411916
4,0.7848318405589998,0.6467162730507926,0.6262201214197324,0.6104511281414662,0.6149366295374789,0.6448212503111204,0.6467162730507926,0.6426855402615258
5,0.7793394441577874,0.6408929149142673,0.6389351782482496,0.5827057112431666,0.5887642215586592,0.6480913869626743,0.6408929149142673,0.6270351604437875
6,0.7648215908185572,0.6363636363636364,0.6144775751262208,0.6085202377118882,0.6106750084813041,0.63638047276145,0.6363636363636364,0.635445898417868
