trial,dropout,hidden_size,learning_rate,best_epoch,epochs_ran,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
3,0.5,64,0.001,8,10,0.6570689097379488,0.6405179183051625,0.6264976743567666,0.6296072106594409,0.6597899433633576,0.6570689097379488,0.6541653936688011
4,0.5,128,0.001,2,4,0.6538337107732125,0.6419879558511177,0.5997859017113306,0.6096003906866185,0.6506609738050663,0.6538337107732125,0.6452717354835942
1,0.3,64,0.001,2,4,0.6512455516014235,0.6375811490859653,0.6000872990352127,0.6095252029721433,0.6478413193160998,0.6512455516014235,0.6436887444005984
2,0.3,128,0.001,2,4,0.6496279521190553,0.6386640404472518,0.5933809601391593,0.6036448988446103,0.6460769045483995,0.6496279521190553,0.6405768630129255
