trial,var_smoothing,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
1,1e-06,0.5548366224522808,0.5688943571823506,0.5165857568313774,0.5053981933640372,0.601832116143657,0.5548366224522808,0.5334960169054946
2,1e-05,0.5548366224522808,0.5688943571823506,0.5165857568313774,0.5053981933640372,0.601832116143657,0.5548366224522808,0.5334960169054946
3,0.0001,0.5548366224522808,0.5688943571823506,0.5165857568313774,0.5053981933640372,0.601832116143657,0.5548366224522808,0.5334960169054946
4,0.001,0.5541895826593336,0.5681519211757686,0.5157216982893004,0.5044533112275196,0.6012260858425426,0.5541895826593336,0.5327145631700518
5,0.01,0.5532190229699127,0.5684842571042296,0.5139568098798394,0.5022182937134846,0.6013948715286647,0.5532190229699127,0.5306432527027232
6,0.1,0.5315431899061792,0.5768446276095516,0.4932686060660143,0.47206293818896145,0.6070244872414613,0.5315431899061792,0.4943765058725295
7,1.0,0.4493691362018764,0.598310875613176,0.40251177130840615,0.3246278326264757,0.6318213514951829,0.4493691362018764,0.33770096074609335
