epoch,training_loss,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
1,0.8573031182506639,0.6402458751213199,0.6469912078571831,0.572223560253588,0.5801925685547081,0.6455149006095562,0.6402458751213199,0.6246381063884702
2,0.774228249998215,0.6402458751213199,0.642054261880174,0.5822707063295819,0.5942745890751806,0.6421792895842982,0.6402458751213199,0.6301245629757327
3,0.7317859801507672,0.6438045939825299,0.6502257972405978,0.5751237131932773,0.5829443664932005,0.6480511772660851,0.6438045939825299,0.6277235412514798
4,0.6938527488315117,0.6580394694273698,0.6481621284609705,0.6149417877486153,0.6255679865364385,0.6559145067166848,0.6580394694273698,0.6533242524390114
5,0.6637103280421537,0.6470397929472662,0.6595263235620701,0.5876892676539205,0.597975763505756,0.6560545983035934,0.6470397929472662,0.6342011953426535
6,0.6207450291144478,0.6486573924296344,0.6345753148997693,0.6183419237500892,0.6241445941343783,0.6485169939900752,0.6486573924296344,0.6464646228030156
